Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,46.20%,%,20142,43552,53.50%,39%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,73.50%,%,11753117,15992367,73.80%,73.20%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,67.30%,%,158179,235123,72.30%,62.20%
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,54.40%,%,683590,1256768,56.60%,52.20%
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,69.30%,%,439241,633702,72.40%,66.20%
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,58.60%,%,257557,439661,62.40%,54.80%
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,60%,%,1538567,2565254,61.50%,58.40%
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,71.60%,%,13300975,18572754,71.90%,71.30%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,86.80%,%,10676081,12294366,87.10%,86.50%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,83.90%,%,155651,185597,88.60%,79.10%
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,82.20%,%,971640,1181638,84.10%,80.40%
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,85%,%,429969,505598,87.80%,82.30%
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,76.90%,%,345840,449589,80.30%,73.50%
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,81.90%,%,1903100,2322422,83.30%,80.60%
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,86.10%,%,12588445,14627823,86.30%,85.80%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,82.80%,%,4747898.5,5732053.5,83.30%,82.40%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,77.70%,%,53458,68817.5,86.20%,69.20%
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,67.60%,%,169792.5,251006.5,72.50%,62.80%
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,75%,%,117432,156583.5,81%,68.90%
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,70.70%,%,48746.5,68945.5,80.10%,61.30%
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,71.40%,%,389429,545353,74.70%,68.20%
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,81.80%,%,5140944.5,6281846.5,82.30%,81.40%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,75.30%,%,4270545.5,5669606.5,75.90%,74.80%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,61.10%,%,48714,79775.5,70.20%,52%
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,63.90%,%,157431.5,246423.5,68.80%,59%
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,64.10%,%,103392,161289.5,70.70%,57.50%
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,59.90%,%,37326.5,62303.5,70%,49.80%
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,63.10%,%,346864,549792,66.50%,59.70%
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,74.20%,%,4620151.5,6222896.5,74.80%,73.70%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,70.10%,%,2608456,3723129,70.80%,69.40%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,54%,%,23888,44231,66.60%,41.40%
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,57.50%,%,118849,206676,63%,52%
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,58.50%,%,60898,104185,66.60%,50.30%
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,49.60%,%,24543,49507,60.90%,38.30%
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,56.40%,%,228178,404599,60.40%,52.40%
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,68.70%,%,2838374,4129773,69.40%,68%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,77.90%,%,1516717,1947926,78.70%,77%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,63.60%,%,215869,339459,67.70%,59.40%
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,67.40%,%,75472,111999,74.60%,60.20%
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,69.40%,%,92016,132609,75.90%,62.90%
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,65.40%,%,394922,603773,68.50%,62.30%
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,74.90%,%,1914333,2556575,75.70%,74.10%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,45.20%,%,1148010,2539586,46.10%,44.30%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,38.50%,%,12682,32922,52.30%,24.80%
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,38.60%,%,126311,327013,42.80%,34.50%
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,42.40%,%,40673,95850,50.60%,34.20%
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,44.90%,%,46738,104112,52.80%,36.90%
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,40.40%,%,226404,559897,43.70%,37.20%
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,44.30%,%,1375049,3101099,45.20%,43.50%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,59.10%,%,50360,85234,64.30%,53.90%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,55.90%,%,58823,105244,60.70%,51.10%
White,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,78.20%,%,25018068,31991901,78.40%,78%
Mixed,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,70.90%,%,306673,432276,74.70%,67.20%
Asian or Asian British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,68.90%,%,1765137,2562403,70.40%,67.40%
Black or Black British,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,72.80%,%,828861,1137769,75.10%,70.60%
Other,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,68.70%,%,596535,868895,71.30%,66%
Other than White ,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,69.90%,%,3497206,5001343,71%,68.90%
Unreported,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,65.10%,%,20846,32013,79%,51.30%
All,ONS 5+1,2016,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,77.10%,%,28536120,37025257,77.30%,76.90%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,90%,%,5278176,5866945,90.40%,89.60%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,86.20%,%,74640,86629,92.90%,79.40%
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,91.30%,%,554796,607683,93.20%,89.40%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,90.30%,%,204842,226914,93.70%,86.90%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,85.20%,%,178627,209597,89.60%,80.80%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.60%,%,1012905,1130823,91.10%,88%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.90%,%,6295794,7003163,90.30%,89.50%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,86.60%,%,2701757,3119932,87.20%,86%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,83.80%,%,30578,36473.5,94.60%,73%
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,80.20%,%,103158.5,128699,86.20%,74.10%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,84.10%,%,53486.5,63570.5,92%,76.20%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,76.60%,%,27373.5,35742,89.20%,63.90%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,81.10%,%,214596.5,264485,85.30%,77%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,86.20%,%,2917987.5,3386137,86.80%,85.60%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,82%,%,2283100,2784635,82.70%,81.30%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,70.30%,%,22387,31854.5,83.90%,56.70%
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,70.70%,%,98668.5,139515,77.40%,64%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,62.80%,%,40364.5,64240.5,73.40%,52.30%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,59.70%,%,20735.5,34755,74.10%,45.20%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,67.40%,%,182155.5,270365,72.30%,62.40%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,80.70%,%,2465437.5,3055182,81.40%,80%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,79.40%,%,1434463,1806176,80.30%,78.50%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,74.10%,%,65706,88721,81.70%,66.40%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,73.30%,%,37145,50703,84.40%,62.10%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,72.20%,%,128219,177704,77.80%,66.50%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,78.70%,%,1563137,1985195,79.60%,77.80%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,83.40%,%,1005541,1206012,84.40%,82.30%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,83.40%,%,140175,168072,88.10%,78.70%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,80.50%,%,43768,54340,89.40%,71.70%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,80%,%,69575,87018,87.30%,72.60%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,81.90%,%,265891,324543,85.50%,78.40%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,83.10%,%,1272575,1532148,84%,82.10%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,54.30%,%,678238,1249757,55.60%,53%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,63.40%,%,96423,152061,69.70%,57.10%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,48.90%,%,20588,42087,61.40%,36.40%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,62.40%,%,28689,46005,74.20%,50.50%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,59.30%,%,154741,260746,64.30%,54.40%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,55.10%,%,833665,1511856,56.30%,53.90%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,72.10%,%,36041,50006,78.50%,65.70%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
